,year,month,commercial,farm,begin_stocks,end_stocks,imports,exports,population
0,2000,1,6653.0,39.0,411.26084,494.86068,733.217,631.392,281304.0
1,2000,2,6699.0,16.0,494.86068,530.4142,814.282,605.96,282002.0
2,2000,3,6914.0,17.0,530.4142,529.87636,818.163,660.446,282769.0
3,2000,4,6511.0,39.0,529.87636,525.08088,666.711,570.602,283518.0
4,2001,1,6182.0,37.0,525.08088,433.52904,785.863,567.98,284169.0
5,2001,2,6502.0,16.0,433.52904,447.9112,839.7,508.925,284838.0
6,2001,3,6723.0,16.0,447.9112,501.75356,848.973,582.408,285584.0
7,2001,4,6700.0,36.0,501.75356,606.0,688.82,609.97,286311.0
8,2002,1,6377.0,36.0,606.0,540.0,736.83,572.661,286935.0
9,2002,2,6833.0,15.0,540.0,521.0,934.148,602.374,287574.0
10,2002,3,7097.0,15.0,521.0,653.0,838.638,660.379,288303.0
11,2002,4,6783.0,36.0,653.0,691.0,707.982,612.29,289007.0
12,2003,1,6282.0,35.0,691.0,527.0,809.941,581.962,289609.0
13,2003,2,6902.0,15.0,527.0,488.0,741.295,678.548,290253.0
14,2003,3,7081.0,15.0,488.0,496.0,618.775,680.095,290974.0
15,2003,4,5973.0,36.0,496.0,518.0,835.899,577.643,291669.0
16,2004,1,5838.0,36.0,518.0,548.0,873.239,33.668,292237.0
17,2004,2,6253.0,15.0,548.0,543.0,928.646,119.468,292875.0
18,2004,3,6360.0,15.0,543.0,604.0,939.494,138.501,293603.0
19,2004,4,6097.0,36.0,604.0,637.0,937.853,168.677,294334.0
20,2005,1,5725.0,35.9,637.0,491.0,831.545,129.708,294957.0
21,2005,2,6189.0,15.0,491.0,453.0,1064.969,188.752,295588.0
22,2005,3,6560.0,15.0,453.0,580.0,905.21,149.846,296340.0
23,2005,4,6209.0,37.9,580.0,571.0,796.785,228.851,297086.0
24,2006,1,6081.6,37.1,571.0,575.0,842.922,215.049,297736.0
25,2006,2,6724.3,15.1,575.0,594.0,789.528,315.138,298408.0
26,2006,3,6833.5,15.1,594.0,646.0,730.434,306.523,299180.0
27,2006,4,6512.6,37.1,646.0,630.0,721.782,308.165,299946.0
28,2007,1,6236.7,36.2,630.0,559.0,769.916,269.037,300609.0
29,2007,2,6648.6,15.2,559.0,568.0,884.507,364.453,301284.0
30,2007,3,6802.0,15.2,568.0,639.0,773.917,424.768,302062.0
31,2007,4,6733.2,36.1,639.0,630.0,623.823,375.706,302829.0
32,2008,1,6371.8,36.1,630.0,553.0,638.265,395.0,303494.0
33,2008,2,6898.9,15.1,553.0,559.0,660.678,497.0,304160.0
34,2008,3,6908.3,15.1,559.0,590.0,584.255,643.0,304902.0
35,2008,4,6382.2,36.1,590.0,642.0,654.948,461.0,305616.0
36,2009,1,6247.9,36.1,642.0,556.0,703.369,422.512,306237.6
37,2009,2,6601.8,15.0,556.0,570.0,750.548,497.979,306866.4
38,2009,3,6689.5,15.1,570.0,560.0,622.455,495.95,307572.8
39,2009,4,6426.2,36.1,560.0,565.0,549.785,518.314,308284.8
40,2010,1,6248.2,37.0,565.0,502.0,572.751,477.952,308901.2
41,2010,2,6546.4,17.1,502.0,487.0,690.784,585.158,309473.0
42,2010,3,6768.4,16.1,487.0,514.0,598.464,590.472,310098.3
43,2010,4,6741.3,37.1,514.0,585.0,435.924,646.025,310731.2
44,2011,1,6409.5,29.0,585.0,584.0,461.427,633.256,311253.0
45,2011,2,6559.4,8.5,584.0,568.0,592.596,702.381,311781.7
46,2011,3,6736.2,8.5,568.0,559.0,548.041,766.214,312407.2
47,2011,4,6490.2,29.0,559.0,600.2568,454.461,683.208,313015.4
48,2012,1,6281.5,29.1,600.2568,659.6116,582.083,558.055,313530.1
49,2012,2,6473.2,9.0,659.6116,612.9739,668.602,624.422,314047.7
50,2012,3,6585.5,9.0,612.9739,551.9949,515.883,650.397,314660.7
51,2012,4,6572.4,29.2,551.9949,608.2591,453.215,619.625,315268.7
52,2013,1,6174.5,26.6,608.2591,676.6004,590.019,556.687,315749.9
53,2013,2,6513.2,9.0,676.6004,637.5204,628.734,636.062,316250.9
54,2013,3,6609.1,9.0,637.5204,589.6785,514.945,716.081,316877.4
55,2013,4,6423.1,25.8,589.6785,583.6618,515.979,679.548,317515.5
56,2014,1,5866.3,24.5118,583.6618,537.1046,596.87,583.044,317837.8
57,2014,2,6183.8,8.304,537.1046,473.495,767.326,667.312,318370.6
58,2014,3,6179.3,8.304,473.495,499.6185,764.764,679.778,319009.8
59,2014,4,6020.8,24.3801,499.6185,590.7102,817.923,643.62,319651.5
60,2015,1,5664.9,23.6563,590.7102,640.0177,876.985,523.507,320156.8
61,2015,2,5855.9,7.7192,640.0177,631.526,989.055,606.717,320683.4
62,2015,3,6068.3,7.7192,631.526,663.6148,889.423,541.911,321315.3
63,2015,4,6108.7,23.5053,663.6148,683.1521,612.842,595.153,321947.2
64,2016,1,5937.5,25.4335,683.1521,641.8865,792.115,535.285,322475.8
65,2016,2,6187.2,8.1635,641.8865,618.0291,831.018,621.206,322998.8
66,2016,3,6471.5,8.1635,618.0291,690.9904,750.771,660.47,323605.9
67,2016,4,6624.7,25.2395,690.9904,756.6922,637.814,740.022,324187.4
68,2017,1,6302.9,23.7882,756.6922,616.1269,699.632,652.672,324647.5
69,2017,2,6406.8,7.771,616.1269,553.4429,812.1,680.067,325106.6
70,2017,3,6735.6,7.771,553.4429,659.613,813.735,745.684,325666.8
71,2017,4,6742.0,23.5697,659.613,648.5742,667.513,780.906,326217.2
