,year,month,commercial,farm,begin_stocks,end_stocks,imports,exports,population
0,2000,1,4834.0,7.0,461.0,568.0,245.543,323.858,281304.0
1,2000,2,4478.0,5.0,568.0,513.0,239.093,306.747,282002.0
2,2000,3,4606.0,5.0,513.0,460.0,233.527,305.483,282769.0
3,2000,4,5010.0,7.0,460.0,453.0,247.325,350.574,283518.0
4,2001,1,4805.0,7.0,453.0,466.0,226.691,394.624869717275,284169.0
5,2001,2,4546.0,4.0,466.0,401.0,198.846,432.842786716125,284838.0
6,2001,3,4548.0,4.0,401.0,369.0,262.464,313.713491420464,285584.0
7,2001,4,5239.0,7.0,369.0,513.0,262.743,398.129533557584,286311.0
8,2002,1,4780.0,6.0,513.0,576.0,234.826,390.494,286935.0
9,2002,2,4797.0,5.0,576.0,527.0,261.446,418.424,287574.0
10,2002,3,4832.0,5.0,527.0,500.0,275.379,388.988,288303.0
11,2002,4,5255.0,5.0,500.0,514.0,299.076,414.322,289007.0
12,2003,1,4898.0,6.0,514.0,573.0,289.291,411.932,289609.0
13,2003,2,4741.0,4.0,573.0,486.0,301.301,439.79,290253.0
14,2003,3,4807.0,4.0,486.0,443.0,297.932,403.877,290974.0
15,2003,4,5499.0,7.0,443.0,506.0,296.678,461.098,291669.0
16,2004,1,5130.9,6.0,506.0,476.0,274.747,521.273,292237.0
17,2004,2,4897.3,4.0,476.0,388.0,264.857,546.3,292875.0
18,2004,3,5047.7,4.0,388.0,431.0,290.403,488.115,293603.0
19,2004,4,5434.7,6.0,431.0,510.0,269.458,624.845,294334.0
20,2005,1,5138.0,6.1,510.0,589.0,244.663,630.353,294957.0
21,2005,2,5021.0,4.1,589.0,535.0,244.624,700.495,295588.0
22,2005,3,5000.0,4.0,535.0,474.0,257.531,629.906,296340.0
23,2005,4,5526.0,6.1,474.0,480.0,277.029,705.361,297086.0
24,2006,1,5335.0,5.9,480.0,565.0,259.194,767.099,297736.0
25,2006,2,5007.6,3.9,565.0,447.0,237.368,763.38,298408.0
26,2006,3,5086.5,3.9,447.0,502.0,238.721,653.675,299180.0
27,2006,4,5624.8,5.9,502.0,493.0,254.395,810.942,299946.0
28,2007,1,5395.8,5.9,493.0,553.0,239.266,792.821,300609.0
29,2007,2,5128.2,3.9,553.0,514.0,256.429,686.509,301284.0
30,2007,3,5255.5,3.9,514.0,528.0,240.52,703.28,302062.0
31,2007,4,6163.0,5.9,528.0,519.0,232.223,958.572,302829.0
32,2008,1,6023.7,5.9,519.0,744.0,217.398,1111.26098558925,303494.0
33,2008,2,5592.9,4.0,744.0,597.0,205.458,1382.26975696015,304160.0
34,2008,3,5632.2,4.0,597.0,577.0,191.347,1111.94264095679,304902.0
35,2008,4,6098.1,5.8,577.0,634.5374,217.681,1045.99013502322,305616.0
36,2009,1,5814.0,6.2,634.5374,678.2052,205.368,1025.1401581904,306237.0
37,2009,2,5489.5,4.5,678.2052,658.5787,196.091,945.913950580505,306866.0
38,2009,3,5699.5,4.5,658.5787,587.3212,209.743,1006.66693612123,307573.0
39,2009,4,5996.0,6.2,587.3212,525.4655,222.565,1116.39063531693,308285.0
40,2010,1,5607.3,5.4,525.4655,575.9091,198.952,1045.268,308901.2
41,2010,2,5302.1,4.0,575.9091,468.5746,204.346,1080.724,309473.0
42,2010,3,5401.0,4.0,468.5746,471.9378,237.035,950.729,310098.3
43,2010,4,6126.1,5.6,471.9378,540.9973,219.157,1145.81,310731.2
44,2011,1,5718.7,5.0,540.9973,639.0869,200.968,1247.733,311253.0
45,2011,2,5370.4,3.5,639.0869,559.0697,195.197,1207.951,311781.7
46,2011,3,5483.6,3.5,559.0697,557.6217,193.978,1259.704,312407.2
47,2011,4,6185.5,5.1,557.6217,542.0381,213.284,1480.684,313015.4
48,2012,1,5858.0,4.7,542.0381,679.3812,207.42,1441.899,313530.1
49,2012,2,5519.2,3.0,679.3812,665.4083,191.159,1300.651,314047.7
50,2012,3,5631.2,3.0,665.4083,711.611,198.297,1250.998,314660.7
51,2012,4,6244.1,4.7,711.611,624.9609,204.808,1385.811,315268.7
52,2013,1,5775.3,4.7,624.9609,733.6968,207.522,1216.296,315749.9
53,2013,2,5516.0,3.0,733.6968,649.2644,209.671,1224.541,316250.9
54,2013,3,5621.6,3.0,649.2644,640.1865,229.045,1204.535,316877.4
